Airways,Center,Latitude,Longitude,Numbered Fix
A1 V385,ZAN,63.889083,-160.695000,30194
A1 V453,ZAN,63.887639,-160.686083,27583
A1 V488,ZAN,63.888722,-160.692694,29610
A17 B4,ZAN,66.758972,-148.176083,27552
A6 V385,ZAN,63.826028,-160.929667,29497
A6 V488,ZAN,63.760833,-161.023028,29496
A6 V506,ZAN,62.240417,-163.063472,29494
A6 V510,ZAN,62.732639,-162.430194,29495
B27 G4,ZAN,59.171778,-157.766889,27551
B27 V319,ZAN,60.794667,-161.876361,29094
B27 V350,ZAN,61.023944,-162.121639,29095
B27 V488,ZAN,62.636389,-163.731222,30193
B27 V619,ZAN,58.870500,-157.077139,29508
B3 V385,ZAN,63.863833,-160.789222,30195
B3 V440,ZAN,63.911750,-160.818083,30192
B3 V453,ZAN,63.761556,-160.737250,27582
B3 V488,ZAN,63.853583,-160.783944,29609
B7 V480,ZAN,60.766583,-161.875222,29557
G10 R99,ZAN,55.547194,-163.660222,26799
G15 V453,ZAN,62.453917,-161.241833,27580
G15 V506,ZAN,62.125028,-162.960556,29103
G6 R50,ZAN,61.781278,-160.999889,29097
G6 V453,ZAN,61.840806,-161.463278,27585
G6 V480,ZAN,61.601222,-159.675833,29212
G6 V506,ZAN,62.009250,-162.858083,29096
G8 V351,ZAN,57.784778,-158.610056,29499
G9 V308,ZAN,60.799889,-161.755083,29101
G9 V319,ZAN,60.792056,-161.862500,29098
G9 V350,ZAN,60.794028,-161.835667,29099
G9 V453,ZAN,60.795083,-161.820944,27579
G9 V480,ZAN,60.797083,-161.793528,29100
G9 V506,ZAN,60.794278,-161.832000,29102
J1 J110,ZOA,36.725861,-121.122750,10105
J1 J126,ZOA,37.154139,-121.589250,12398
J1 J143,ZSE,44.512000,-122.717306,11837
J1 J189 J34,ZSE,47.013444,-122.381778,11759
J1 J189 J54,ZSE,46.786583,-122.420111,13772
J10 J104 J107 J128 J4 J50 J64,ZLA,34.013222,-117.622750,12102
J10 J104 J4 J65,ZLA,34.102783,-116.332167,11569
J10 J11,ZAB,34.915694,-112.468167,14745
J10 J144 J151,ZMP,41.426417,-96.300944,00966
J10 J144 J21,ZMP,41.435444,-95.587667,10418
J10 J154,ZDV,39.759194,-104.436167,14168
J10 J197,ZDV,38.162528,-107.223750,13635
J10 J231 J236,ZLA,34.216194,-115.298750,13819
J10 J233,ZAU,41.488528,-92.485722,13702
J10 J6,ZAB,34.725889,-113.103056,14743
J10 J60,ZDV,40.059278,-103.619139,14169
J10 J72,ZAB,35.559028,-110.790389,12481
J10 J76,ZDV,36.035389,-109.738444,10188
J10 J86,ZAB,35.316194,-111.314250,10287
J10 J92,ZAB,34.839417,-112.725000,14744
J100 J105 J128 J84 J94,ZAU,42.287306,-88.847944,10445
J100 J110 J146 J86 J9,ZLA,36.060333,-115.184914,12242
J100 J128 J151 J84,ZMP,41.634361,-96.761194,10417
J100 J128 J45 J84,ZMP,41.976472,-94.380694,10415
J100 J13 J17 J84,ZDV,40.761111,-104.727250,14177
J100 J146 J50 J9,ZLA,34.255833,-117.861083,12100
J100 J146 J6 J9,ZLA,34.746361,-116.975444,12047
J100 J146 J65 J9,ZLA,34.460800,-117.493722,12046
J100 J15,ZDV,39.355972,-109.298778,10193
J100 J154 J84,ZDV,40.628083,-105.378806,14211
J100 J20 J52 J84,ZDV,40.438056,-106.275611,14187
J100 J206 J84,ZDV,40.148444,-107.574722,13114
J100 J240,ZDV,39.530667,-108.966944,13903
J100 J28,ZLC,38.411450,-111.035744,13106
J100 J58,ZLC,37.984861,-111.790667,12484
J100 J9 J92,ZLA,36.109056,-115.122333,14460
J101 J112,ZKC,37.783933,-90.938603,10529
J101 J187,ZKC,38.101972,-90.805333,14797
J101 J35 J64,ZAU,41.168778,-88.540778,10450
J102 J104,ZDV,37.692194,-104.595167,10202
J102 J108,ZAB,34.605389,-109.604806,11485
J102 J161,ZAB,35.491250,-108.848806,13640
J102 J17,ZDV,37.837583,-104.060250,10203
J102 J171,ZDV,37.957778,-103.609500,12130
J102 J182,ZKC,38.645361,-99.766861,12388
J102 J231 J74,ZAB,34.396500,-109.863083,11483
J102 J28,ZDV,38.150833,-102.868417,10220
J102 J76,ZAB,35.926278,-108.162444,11488
J102 J86,ZAB,34.411667,-109.844389,11484
J104 J108,ZAB,33.572667,-107.745083,11040
J104 J110,ZDV,37.500167,-104.647444,10201
J104 J13,ZAB,34.146194,-107.055389,10293
J104 J134 J96,ZAB,36.480000,-104.920639,10307
J104 J15,ZAB,34.745444,-106.309944,10296
J104 J231,ZAB,34.957889,-106.040056,13651
J104 J236 J4,ZLA,34.110250,-115.455472,13818
J104 J6 J78,ZAB,35.093583,-105.866528,10306
J104 J72,ZAB,34.948917,-106.051472,10297
J104 J74,ZAB,34.395167,-106.750250,13190
J105 J151 J233 J45,ZKC,39.410861,-91.375833,10531
J105 J18 J87,ZAU,41.447111,-89.402028,13718
J105 J30 J82,ZAU,42.073833,-88.990278,10447
J105 J46,ZME,36.189383,-94.190925,10543
J105 J52,ZFW,34.039861,-96.368611,14575
J105 J78,ZKC,36.775472,-93.749278,10517
J105 J87,ZFW,33.625306,-96.663694,14581
J105 J90,ZAU,42.453500,-88.736389,10444
J106 J190 J70,ZNY,41.733514,-77.355669,13369
J106 J217 J70,ZNY,41.605158,-76.880167,13371
J106 J59 J70,ZNY,41.734167,-77.358114,13370
J106 J6 J70,ZNY,40.952361,-74.660056,13335
J106 J60 J70,ZNY,40.994000,-74.860139,00435
J106 J70 J75,ZNY,40.869917,-74.269500,13330
J107 J116,ZLC,40.228842,-110.767944,10149
J107 J12,ZLC,39.962444,-111.098806,10150
J107 J136 J202,ZDV,42.890139,-106.658167,12408
J107 J146,ZLA,36.224142,-114.690789,12238
J107 J148,ZLC,39.694611,-111.427694,12490
J107 J15,ZLC,40.205897,-110.796575,10147
J107 J151,ZDV,44.235583,-103.738583,10213
J107 J156,ZLC,38.845139,-112.447000,12487
J107 J173,ZLC,40.555889,-110.356528,12134
J107 J175 J202,ZLC,42.280611,-107.786556,12401
J107 J198,ZLC,38.583778,-112.753611,12412
J107 J199,ZLC,39.598694,-111.544556,12489
J107 J202 J54,ZLC,41.949361,-108.382389,14290
J107 J36,ZMP,46.842639,-99.683611,12522
J107 J523 J9,ZLC,38.222417,-113.125083,14325
J107 J56,ZLC,40.741892,-110.119917,10146
J107 J60 J64 J65,ZLA,34.323333,-117.042361,10262
J107 J70,ZMP,46.147500,-100.504472,12521
J107 J76,ZLA,36.079167,-114.800639,12243
J107 J82,ZDV,43.996833,-104.286722,12516
J107 J84,ZLC,39.445750,-111.730000,12488
J107 J90,ZMP,45.799972,-100.904611,12520
J108 J19 J244,ZAB,34.679111,-109.794194,11075
J108 J26,ZAB,32.686028,-105.159722,11042
J108 J6 J78,ZAB,34.883639,-110.325528,11061
J108 J66,ZAB,32.184194,-103.962306,13939
J109 J121,ZDC,35.075972,-77.864194,11716
J109 J14,ZDC,37.230233,-77.832719,13148
J109 J147 J8,ZDC,38.576583,-78.125306,10690
J109 J150 J42,ZDC,38.096250,-77.988083,13554
J109 J165,ZDC,36.664147,-77.841156,13592
J109 J207,ZDC,36.323500,-77.846167,13502
J109 J208 J55,ZDC,36.901750,-77.837639,13588
J109 J209,ZDC,35.963056,-77.851444,13155
J109 J213,ZDC,38.740867,-78.172692,10689
J109 J37,ZDC,38.082389,-77.984139,13547
J109 J48,ZDC,38.501278,-78.103667,13270
J109 J52,ZDC,36.936564,-77.837106,10699
J109 J75,ZDC,38.153444,-78.004306,13577
J109 J79,ZDC,35.786417,-77.854000,13157
J11 J110,ZLA,36.317611,-112.386611,12204
J11 J128 J64,ZLA,35.877986,-112.412500,10269
J11 J148,ZLC,39.467306,-112.056917,10134
J11 J156,ZLC,38.937500,-112.131806,10137
J11 J184,ZAB,33.257667,-111.874806,14155
J11 J198,ZLC,38.697056,-112.165425,11969
J11 J199,ZLC,39.440778,-112.060683,11972
J11 J236,ZLA,35.647306,-112.425972,13823
J11 J28,ZLC,38.385169,-112.208694,13061
J11 J4,ZAB,33.127833,-111.804500,13212
J11 J58,ZLC,38.126144,-112.244339,12483
J11 J72 J86,ZLA,35.605694,-112.428389,12228
J11 J74 J92,ZAB,34.271194,-112.305167,10282
J11 J8,ZAB,35.047000,-112.460667,11064
J11 J80,ZLC,38.509558,-112.191478,10138
J11 J84,ZLC,39.383750,-112.068806,10135
J110 J134 J181 J19,ZKC,38.550250,-92.718444,14789
J110 J137 J24,ZKC,39.007278,-89.895611,12163
J110 J168,ZDV,37.772500,-102.247306,12528
J110 J17,ZDV,37.594417,-103.865917,10217
J110 J171,ZDV,37.624694,-103.604972,12129
J110 J186 J80,ZID,39.981139,-82.599889,12967
J110 J189,ZOA,36.808000,-120.460361,11708
J110 J191,ZDC,39.847556,-74.964972,13599
J110 J20 J52,ZDV,37.790444,-102.071639,12529
J110 J211 J230,ZOB,39.980833,-78.315639,13293
J110 J225,ZNY,39.831667,-74.679444,13600
J110 J24 J89,ZID,39.769972,-86.578333,10725
J110 J25,ZKC,38.252278,-95.098778,10513
J110 J30 J80,ZID,39.994833,-82.063194,12451
J110 J42,ZDC,39.849500,-75.001000,13555
J110 J43 J80,ZID,39.929528,-84.102694,10739
J110 J51,ZDC,39.869167,-75.376639,13443
J110 J7,ZOA,36.850556,-119.600972,13017
J110 J75,ZNY,39.886167,-75.721889,13582
J110 J76,ZLA,36.076472,-114.279944,12231
J110 J79,ZNY,39.826583,-74.590222,13601
J110 J80 J83,ZID,39.982111,-82.564944,13044
J110 J80 J85,ZID,39.998194,-81.913500,10765
J112 J180,ZKC,37.830222,-91.242722,14788
J112 J181,ZKC,38.104944,-93.176389,14787
J112 J187,ZKC,37.748222,-90.707611,14796
J112 J71 J78,ZKC,37.773833,-89.321278,10537
J113 J45,ZJX,28.813278,-81.141861,14371
J113 J45,ZJX,28.595361,-81.090194,14370
J113 J79,ZMA,26.091861,-80.262417,14372
J114 J34,ZMP,44.450861,-95.006500,10491
J114 J90,ZMP,44.423500,-95.068972,10492
J116 J148,ZLC,40.189528,-109.947500,12494
J116 J15,ZLC,40.232203,-110.844078,10148
J116 J157,ZLC,40.191361,-109.983639,14275
J116 J206,ZDV,40.019222,-107.449444,14197
J116 J24,ZLC,40.185583,-109.872167,12495
J116 J60,ZDV,39.771361,-105.264611,14195
J118 J145,ZTL,35.015922,-83.169733,11803
J118 J186,ZTL,35.014811,-83.226844,11804
J118 J22,ZTL,34.962500,-85.194167,10599
J118 J43 J91,ZTL,34.993942,-84.114661,10601
J118 J45,ZME,34.974861,-85.620500,10598
J118 J46,ZTL,35.006139,-83.629528,14586
J118 J48,ZTL,35.020917,-82.896111,13622
J118 J73,ZME,34.987444,-86.120361,13064
J118 J89,ZTL,34.974528,-84.764944,10600
J118 J99,ZTL,35.015728,-83.180122,11917
J119 J20,ZJX,29.349717,-82.612164,10651
J119 J91,ZJX,29.239667,-82.617750,13090
J12 J136,ZSE,47.080808,-119.036083,12546
J12 J143,ZSE,46.938336,-118.852192,12547
J12 J148,ZLC,39.884278,-110.892028,12500
J12 J15 J158,ZLC,41.708056,-113.275472,10130
J12 J15 J94,ZLC,41.426583,-112.844806,10131
J12 J153,ZSE,46.045639,-117.730028,12549
J12 J156,ZDV,39.536639,-109.989111,12831
J12 J16,ZSE,45.771111,-117.394889,12550
J12 J3,ZSE,46.561614,-118.372417,12548
J12 J34 J90,ZSE,47.204919,-119.197389,12545
J12 J517,ZLC,45.253056,-116.774500,12602
J12 J537,ZLC,45.208889,-116.722278,12603
J12 J7,ZLC,43.978639,-115.597306,12604
J12 J84,ZLC,39.683889,-110.368222,12502
J120 J125,ZAN,64.578083,-149.078694,11772
J120 J133,ZAN,63.408083,-153.962917,12469
J120 J179,ZAN,61.601222,-159.675833,13432
J121 J191,ZDC,35.291300,-77.641219,13218
J121 J40,ZDC,35.146028,-77.791833,11717
J121 J575,ZBW,42.402861,-70.850750,10066
J121 J61,ZDC,36.596000,-76.469806,13221
J121 J68,ZBW,41.651806,-71.194583,13614
J121 J97,ZBW,42.244667,-70.886722,13027
J122 J155,ZAN,64.819444,-149.030111,11777
J123 J179,ZAN,62.009250,-162.858111,13434
J123 J512,ZAN,63.007861,-163.770556,14390
J125 J179,ZAN,60.459583,-150.500472,14388
J125 J617,ZAN,59.793694,-150.985972,14605
J126 J136,ZSE,45.449228,-122.973742,11749
J126 J502,ZSE,48.259000,-123.050583,11752
J126 J523,ZSE,47.694981,-122.984494,11751
J126 J58 J80 J94,ZOA,37.793889,-121.570750,12399
J126 J70,ZSE,47.273389,-122.936056,11750
J126 J84,ZOA,37.915528,-121.567194,12400
J128 J15,ZDV,37.739575,-108.390947,10190
J128 J154,ZDV,39.738139,-104.406639,14198
J128 J197,ZDV,38.040833,-107.826611,13634
J128 J58,ZDV,37.196692,-109.384475,10189
J128 J6,ZLA,34.786972,-115.559917,12236
J128 J65,ZLA,34.247556,-116.796472,12235
J128 J92,ZLA,35.481889,-113.896917,12237
J13 J134 J96,ZAB,36.134694,-106.350556,10302
J13 J146 J44,ZDV,38.794722,-105.254000,14174
J13 J154 J17,ZDV,39.912889,-104.642806,14176
J13 J157,ZDV,41.519583,-105.012722,14209
J13 J17 J60,ZDV,39.891583,-104.640694,14175
J13 J184,ZAB,32.088083,-106.824972,14255
J13 J197 J44,ZDV,38.505639,-105.421028,14172
J13 J2 J50,ZAB,31.850861,-106.736028,10291
J13 J231,ZAB,34.822583,-106.875722,13648
J13 J244,ZAB,35.412167,-106.660528,13941
J13 J28 J44,ZDV,38.364222,-105.469944,14171
J13 J32,ZDV,43.864389,-106.919139,12157
J13 J4,ZAB,32.012667,-106.796639,11297
J13 J44 J64,ZDV,37.793361,-105.665528,14170
J13 J70,ZLC,47.167944,-110.912444,10144
J13 J74,ZAB,34.400139,-106.988278,10295
J13 J76,ZAB,35.788333,-106.499889,10298
J13 J82,ZLC,44.023222,-107.053417,10161
J13 J90,ZLC,46.564806,-109.873694,13778
J13 J94,ZDV,41.826139,-105.253639,10211
J130 J146,ZDV,40.221289,-99.119336,12883
J130 J197,ZDV,40.207950,-100.358197,12882
J130 J21,ZMP,40.201750,-96.278333,13197
J131 J15 J23,ZHU,30.090833,-98.395917,12462
J131 J151,ZME,36.752611,-89.429583,14610
J131 J187,ZME,36.134194,-90.273556,14801
J131 J20,ZFW,33.396444,-94.691583,10366
J131 J41,ZME,35.672083,-90.890417,10548
J131 J42 J87,ZFW,32.952611,-96.883778,14579
J131 J45,ZME,37.446944,-88.455417,10556
J131 J46,ZME,36.124278,-90.286944,10546
J131 J50,ZFW,31.887583,-97.961528,10353
J132 J190,ZNY,41.987806,-76.630861,13465
J132 J217,ZNY,41.839500,-76.091722,13464
J134 J137,ZKC,38.855167,-89.934861,12169
J134 J15 J96,ZAB,35.862167,-107.423889,10299
J134 J161 J96,ZAB,35.480861,-108.854889,13196
J134 J168,ZKC,36.984139,-101.447500,11941
J134 J169 J78 J93,ZLA,33.724408,-117.292203,12049
J134 J17,ZAB,36.757028,-103.116806,10319
J134 J18,ZAB,36.767611,-103.042972,10318
J134 J186,ZID,38.728633,-82.683469,12965
J134 J212 J78,ZLA,33.828139,-115.544889,13203
J134 J44 J96,ZAB,35.087694,-110.754889,13193
J134 J50 J78,ZLA,33.761528,-115.751167,12050
J134 J58 J96,ZAB,36.127750,-106.378472,10308
J134 J65 J78,ZLA,33.840083,-115.507750,12051
J134 J73,ZID,38.809056,-87.799306,14130
J134 J76 J96,ZAB,35.866528,-107.407111,10300
J134 J83,ZID,38.740194,-82.396611,10759
J134 J86 J96,ZAB,35.073750,-110.819611,13192
J135 J179,ZAN,61.840817,-161.463278,13433
J136 J158,ZDV,43.035028,-106.750806,14878
J136 J32,ZDV,43.775417,-107.231889,12411
J136 J34 J9,ZLC,46.587878,-111.868292,10125
J136 J34 J90,ZSE,47.181533,-118.749078,10080
J136 J5,ZSE,46.067278,-121.777611,10072
J136 J501,ZSE,44.968364,-123.577497,10069
J136 J523,ZSE,46.199528,-121.433389,14321
J136 J54,ZSE,46.295333,-121.181333,13767
J136 J589,ZSE,45.173169,-123.322106,13762
J136 J65,ZSE,45.929167,-122.132422,12382
J136 J7,ZLC,46.688722,-112.283083,12973
J136 J70,ZSE,47.421000,-118.053944,10079
J136 J82,ZLC,44.035056,-107.403750,12406
J137 J19,ZKC,39.382583,-89.798028,13723
J137 J41,ZME,35.867611,-91.165194,12164
J137 J45,ZKC,38.542639,-90.014972,12161
J137 J8,ZKC,38.789417,-89.951778,12162
J138 J2 J31,ZHU,30.629083,-89.641000,14353
J138 J2 J35,ZHU,30.582361,-90.205167,14352
J138 J2 J58,ZHU,30.499722,-91.137000,14351
J14 J168 J6 J78,ZFW,35.309083,-99.818194,11931
J14 J181 J6,ZFW,35.195472,-96.106111,14422
J14 J24,ZDC,37.494583,-77.335056,13541
J14 J37 J46,ZTL,34.141278,-83.379917,14587
J14 J37 J99,ZTL,34.511972,-82.783556,11913
J14 J52 J73,ZTL,33.652611,-85.486056,11907
J14 J6 J87,ZFW,35.198750,-96.134639,14585
J140 J25,ZMP,46.802583,-94.405583,13631
J142 J15,ZAB,34.641250,-106.134861,14342
J142 J17,ZAB,35.679278,-102.105611,13647
J142 J58,ZAB,35.449806,-103.341917,13646
J142 J6 J78,ZAB,35.135583,-104.924194,13644
J142 J72,ZAB,34.886417,-105.568667,14343
J142 J76,ZAB,35.316833,-104.025750,13645
J143 J15,ZSE,45.184139,-121.825306,11841
J143 J159,ZSE,45.061481,-121.990328,11840
J143 J16,ZSE,45.741250,-121.052000,11844
J143 J189,ZSE,44.790814,-122.350939,11838
J143 J20,ZSE,46.321750,-120.006972,11846
J143 J34 J90,ZSE,47.163167,-118.418833,11847
J143 J5,ZSE,45.402528,-121.528889,11842
J143 J501,ZSE,43.822258,-123.264478,12544
J143 J54,ZSE,46.030528,-120.536139,13768
J143 J65,ZSE,45.030944,-122.031306,12377
J143 J67,ZSE,44.991528,-122.084000,11839
J143 J70,ZSE,47.424667,-117.906000,11848
J143 J82,ZSE,45.579028,-121.286861,11843
J144 J233,ZAU,41.840772,-92.457436,13701
J145 J22,ZTL,36.399111,-82.604472,11801
J145 J526,ZID,37.698964,-82.053458,13792
J145 J83,ZID,37.329000,-82.212333,11800
J145 J99,ZTL,35.007114,-83.173289,11918
J146 J15,ZDV,37.972686,-108.460781,10191
J146 J151 J60,ZMP,41.091000,-95.491944,00965
J146 J154,ZDV,39.096583,-103.530500,14202
J146 J17,ZDV,38.927528,-104.515389,14179
J146 J19 J71,ZAU,41.580000,-88.036083,10448
J146 J20 J52,ZDV,39.039028,-103.871861,14189
J146 J21 J60,ZMP,41.050722,-95.803083,10419
J146 J220,ZNY,41.125011,-77.429869,13357
J146 J227,ZNY,41.111375,-77.324694,13468
J146 J25 J60,ZMP,41.303583,-93.718556,10427
J146 J41 J60,ZMP,41.066528,-95.681833,10420
J146 J42,ZNY,40.648056,-74.016111,13563
J146 J45 J60,ZMP,41.322000,-93.552750,00971
J146 J49,ZNY,41.134317,-77.501900,10912
J146 J58,ZDV,37.481361,-110.230500,10186
J146 J59,ZNY,41.171842,-77.796408,10911
J146 J6,ZNY,40.705236,-75.027892,13336
J146 J60,ZNY,40.792611,-75.718333,00434
J146 J60,ZLA,36.312783,-114.399111,12239
J146 J73,ZAU,41.593306,-87.922389,14126
J146 J75,ZNY,40.681111,-74.581194,13329
J146 J84,ZAU,41.604861,-87.822889,10457
J146 J89,ZAU,41.626889,-87.631000,10459
J146 J92,ZLA,36.098694,-115.098556,14461
J147 J24,ZDC,38.045611,-79.925472,10693
J148 J15,ZLC,40.028472,-110.478000,12499
J148 J154,ZDV,40.944222,-106.260361,14210
J148 J163,ZDV,40.691167,-107.571944,12124
J148 J173,ZLC,40.341722,-109.254333,12492
J148 J197,ZMP,42.631167,-97.501283,13736
J148 J20 J52,ZDV,40.787778,-107.081056,14185
J148 J206,ZDV,40.601167,-108.018417,13117
J148 J45,ZMP,42.859758,-95.622786,13737
J148 J523,ZLC,38.910972,-114.217361,14330
J148 J56,ZDV,40.588250,-108.081111,10198
J148 J82,ZMP,42.925583,-95.025500,13738
J148 J9,ZLC,39.306806,-112.493194,01208
J149 J186,ZSE,39.741694,-82.616083,12966
J149 J30,ZAU,40.718167,-84.750917,13832
J149 J48,ZDC,38.938111,-77.560306,13604
J149 J83,ZID,39.706778,-82.527083,13043
J149 J85,ZID,39.434850,-81.843247,10769
J15 J153,ZLC,44.080822,-117.828717,12368
J15 J156,ZDV,39.605444,-109.731083,12830
J15 J17,ZHU,30.213972,-98.735750,12466
J15 J19 J8,ZAB,35.571361,-107.206306,11078
J15 J196 J198,ZDV,39.514139,-109.572194,11991
J15 J197,ZDV,37.912833,-108.442778,13633
J15 J199,ZLC,39.812075,-110.093706,12498
J15 J202,ZLC,40.686611,-111.676556,11977
J15 J21 J25,ZHU,29.966278,-98.055417,12463
J15 J231,ZAB,34.878528,-106.534889,13650
J15 J244,ZAB,35.347806,-107.040306,13942
J15 J5,ZSE,45.022750,-121.389500,10076
J15 J537,ZLC,43.914444,-117.302028,12298
J15 J60,ZDV,38.957036,-108.760822,13120
J15 J65,ZHU,30.329639,-99.058000,13714
J15 J65,ZSE,45.364833,-122.068500,12379
J15 J66,ZFW,32.219944,-103.563389,13945
J15 J84,ZLC,39.748333,-109.981417,12497
J150 J174 J68,ZBW,41.517611,-70.764972,14108
J150 J174 J97,ZBW,41.744806,-70.436278,14109
J150 J225,ZSE,39.749944,-74.759722,13596
J150 J62,ZBW,40.647389,-72.755722,13612
J150 J79,ZBW,40.793822,-72.519778,11785
J150 J79,ZNY,39.774139,-74.642611,13590
J151 J18,ZKC,40.440917,-93.487194,00977
J151 J181 J233 J45,ZKC,39.479139,-91.488472,14805
J151 J192,ZMP,40.745056,-94.406917,00964
J151 J197,ZMP,42.116194,-97.855583,12185
J151 J20,ZJX,29.645583,-83.090444,13968
J151 J233 J45 J80,ZKC,39.639778,-91.755111,00975
J151 J239,ZTL,33.300944,-86.531250,13962
J151 J25,ZMP,40.632944,-94.064306,00963
J151 J32,ZDV,44.482528,-104.448000,10212
J151 J37 J4,ZTL,32.568861,-85.812833,13961
J151 J40,ZTL,32.353778,-85.604722,13960
J151 J46,ZME,36.141917,-88.909222,10565
J151 J6,ZME,36.042722,-88.825667,10567
J151 J64,ZMP,40.598083,-93.958639,00972
J152 J162 J34,ZOB,40.332889,-81.127750,11327
J152 J178,ZID,40.311006,-83.071575,11323
J152 J220 J227,ZNY,40.307583,-77.443917,13361
J152 J61,ZNY,40.308889,-77.553333,11333
J152 J83,ZID,40.320389,-82.529444,11324
J153 J34 J90,ZSE,47.117139,-117.657889,12373
J153 J70,ZSE,47.430861,-117.636222,12374
J153 J82,ZLC,45.047833,-117.794722,12370
J154 J157,ZDV,41.071694,-106.778250,14201
J154 J197,ZDV,38.918058,-103.291139,14203
J154 J44,ZDV,39.723972,-104.387472,14190
J154 J523,ZLC,40.622889,-116.018778,14334
J154 J64,ZDV,38.691083,-102.792028,14204
J154 J80,ZDV,39.660750,-104.300194,14196
J155 J502,ZAN,64.998583,-148.996222,11778
J155 J515,ZAN,65.385028,-148.921528,11779
J156 J240,ZDV,39.716083,-109.310639,13901
J156 J523,ZLC,38.506722,-113.571556,14328
J156 J9,ZLC,38.738492,-112.806394,10136
J157 J163,ZDV,40.813056,-107.763639,14208
J157 J17,ZDV,41.646056,-104.507139,14180
J157 J173,ZLC,40.366361,-109.378028,14276
J157 J20 J52,ZDV,40.915028,-107.379556,14184
J157 J206,ZDV,40.714083,-108.130306,14207
J157 J56,ZDV,40.620528,-108.471528,14206
J158 J16,ZMP,44.769250,-100.561361,12187
J158 J163 J20,ZLC,42.399667,-111.258889,14874
J158 J175,ZLC,42.757250,-108.888222,14876
J158 J34,ZMP,44.953472,-99.957361,12186
J158 J52,ZLC,42.563361,-110.215389,14879
J158 J523,ZLC,40.205889,-115.644278,14333
J158 J54,ZLC,42.481750,-110.743944,14875
J158 J9,ZLC,42.263861,-112.078278,14873
J159 J65,ZSE,45.120361,-122.041222,12378
J16 J3,ZSE,45.699861,-118.988333,10082
J16 J5,ZSE,45.746306,-121.656750,10073
J16 J517,ZSE,45.787639,-116.965056,10091
J16 J523,ZSE,45.741972,-121.120083,14320
J16 J537,ZSE,45.805389,-116.445694,12304
J16 J65,ZSE,45.747972,-122.111750,12381
J16 J7,ZLC,45.862861,-113.192556,12971
J16 J9,ZLC,45.862139,-112.240472,10167
J161 J72,ZAB,35.473333,-108.859278,13194
J161 J76,ZAB,35.956806,-108.574194,13889
J161 J8,ZAB,35.477000,-108.857139,13195
J163 J20 J32,ZLC,42.495556,-111.537000,10145
J163 J20 J713,ZLC,42.160056,-110.575889,14651
J163 J20 J9,ZLC,42.689444,-112.108167,10126
J163 J537 J54,ZLC,44.308639,-117.128333,13776
J163 J54,ZLC,43.361833,-115.133778,12605
J165 J207,ZDC,36.187400,-78.131739,13505
J165 J208 J55,ZDC,37.036750,-77.611222,13150
J165 J209,ZDC,35.921167,-78.292306,13154
J165 J210,ZJX,33.794969,-79.532947,13143
J165 J24,ZDC,37.493889,-77.325611,13543
J166 J184,ZAB,32.549583,-108.725167,14254
J166 J86,ZAB,32.994167,-107.855667,11044
J167 J502 J515,ZAN,64.154278,-145.693722,11780
J168 J18,ZKC,37.374750,-101.840972,11942
